Time (sec)	Arena	Track	Pos. X (mm)	Pos. Y (mm)	Label
4.93333	1	1	298.292	486.219	1
4.96667	1	1	298.535	486.669	1
5	1	1	298.715	486.793	1
5.03333	1	1	298.808	487.152	1
5.06667	1	1	298.808	488.142	1
5.1	1	1	298.789	489.109	1
5.13333	1	1	298.78	489.783	1
5.16667	1	1	298.78	490.495	1
5.2	1	1	298.78	491.49	1
5.23333	1	1	298.707	492.503	1
5.26667	1	1	298.578	493.369	1
5.3	1	1	298.367	494.533	1
5.33333	1	1	298.005	495.816	1
5.36667	1	1	297.553	496.984	1
5.4	1	1	297.215	497.983	1
5.43333	1	1	296.873	499.005	1
5.46667	1	1	296.491	499.844	1
5.5	1	1	296.004	500.887	1
5.53333	1	1	295.389	501.857	1
5.56667	1	1	294.641	502.482	1
5.6	1	1	293.938	503.207	1
5.63333	1	1	293.367	504.217	1
5.66667	1	1	292.869	505.082	1
5.7	1	1	292.286	505.835	1
5.73333	1	1	291.694	506.763	1
5.76667	1	1	291.103	507.771	1
5.8	1	1	290.318	508.775	1
5.83333	1	1	289.494	509.774	1
5.86667	1	1	288.771	510.831	1
5.9	1	1	287.951	511.873	1
5.93333	1	1	287.036	512.707	1
5.96667	1	1	286.234	513.345	1
6	1	1	285.342	514.073	1
6.03333	1	1	284.296	514.947	1
6.06667	1	1	283.304	515.841	1
6.1	1	1	282.282	516.685	1
6.13333	1	1	280.981	517.498	1
6.16667	1	1	279.606	518.19	1
6.2	1	1	278.435	518.785	1
6.23333	1	1	277.297	519.403	1
6.26667	1	1	276.088	520.019	1
6.3	1	1	274.837	520.662	1
6.33333	1	1	273.628	521.467	1
6.36667	1	1	272.414	522.23	1
6.4	1	1	271.354	522.8	1
6.43333	1	1	270.279	523.326	1
6.46667	1	1	269.001	523.91	1
6.5	1	1	267.565	524.375	1
6.53333	1	1	266.221	524.823	1
6.56667	1	1	265.038	525.332	1
6.6	1	1	263.855	525.915	1
6.63333	1	1	262.565	526.375	1
6.66667	1	1	261.362	526.818	1
6.7	1	1	260.331	527.27	1
6.73333	1	1	259.235	527.815	1
6.76667	1	1	258.194	528.406	1
6.8	1	1	257.283	529.042	1
6.83333	1	1	256.244	529.708	1
6.86667	1	1	255.065	530.536	1
6.9	1	1	254.07	531.441	1
6.93333	1	1	253.206	532.345	1
6.96667	1	1	252.346	533.341	1
7	1	1	251.65	534.383	1
7.03333	1	1	251.256	535.405	1
7.06667	1	1	251.075	536.173	1
7.1	1	1	251	536.514	0
7.13333	1	1	250.908	537.494	0
7.16667	1	1	250.784	539.528	1
7.2	1	1	250.8	541.44	1
7.23333	1	1	250.937	542.661	1
7.26667	1	1	251.135	543.856	1
7.3	1	1	251.494	544.873	1
7.33333	1	1	252.037	545.833	1
7.36667	1	1	252.705	546.957	1
7.4	1	1	253.496	548.122	1
7.43333	1	1	254.352	549.17	1
7.46667	1	1	255.196	550.036	1
7.5	1	1	256.06	550.707	1
7.53333	1	1	256.866	551.362	1
7.56667	1	1	257.709	552.071	1
7.6	1	1	258.829	552.815	1
7.63333	1	1	260.226	553.637	1
7.66667	1	1	261.571	554.289	1
7.7	1	1	262.795	554.718	1
7.73333	1	1	264.073	555.095	1
7.76667	1	1	265.434	555.47	1
7.8	1	1	266.759	555.801	1
7.83333	1	1	268	556.095	1
7.86667	1	1	269.236	556.331	1
7.9	1	1	270.499	556.502	1
7.93333	1	1	271.826	556.632	1
7.96667	1	1	273.184	556.646	1
8	1	1	274.434	556.562	1
8.03333	1	1	275.695	556.457	1
8.06667	1	1	277.095	556.294	1
8.1	1	1	278.428	556.094	1
8.13333	1	1	279.579	555.936	1
8.16667	1	1	280.885	555.631	1
8.2	1	1	282.031	555.219	1
8.23333	1	1	283.042	554.738	0
8.26667	1	1	284.345	554.277	1
8.3	1	1	285.858	553.731	1
8.33333	1	1	287.017	553.137	1
8.36667	1	1	288.002	552.502	1
8.4	1	1	288.999	551.863	1
8.43333	1	1	290	551.01	1
8.46667	1	1	291	550.102	1
8.5	1	1	292	549.269	1
8.53333	1	1	293	548.411	1
8.56667	1	1	294.058	547.51	1
8.6	1	1	295.027	546.628	1
8.63333	1	1	295.728	545.686	1
8.66667	1	1	296.356	544.561	1
8.7	1	1	297.064	543.343	1
8.73333	1	1	297.77	542.159	1
8.76667	1	1	298.454	540.989	1
8.8	1	1	299.121	539.937	1
8.83333	1	1	299.756	539.156	1
8.86667	1	1	300.175	538.419	1
8.9	1	1	300.392	537.303	1
8.93333	1	1	300.554	535.96	1
8.96667	1	1	300.716	534.752	1
9	1	1	300.719	533.685	1
9.03333	1	1	300.703	532.574	1
9.06667	1	1	300.779	531.367	1
9.1	1	1	300.916	530.137	1
9.13333	1	1	301.062	528.935	1
9.16667	1	1	301.165	527.826	1
9.2	1	1	301.168	526.826	1
9.23333	1	1	301.065	525.932	1
9.26667	1	1	300.997	525.003	1
9.3	1	1	300.998	524.002	1
9.33333	1	1	301.107	522.862	1
9.36667	1	1	301.292	521.622	1
9.4	1	1	301.408	520.472	1
9.43333	1	1	301.377	519.41	1
9.46667	1	1	301.317	518.308	1
9.5	1	1	301.298	517.117	1
9.53333	1	1	301.325	515.904	1
9.56667	1	1	301.343	514.774	1
9.6	1	1	301.31	513.7	1
9.63333	1	1	301.254	512.578	1
9.66667	1	1	301.22	511.567	1
9.7	1	1	301.193	510.614	1
9.73333	1	1	301.188	509.498	1
9.76667	1	1	301.161	508.374	1
9.8	1	1	301.08	507.422	1
9.83333	1	1	301	506.501	1
9.86667	1	1	300.997	505.503	1
9.9	1	1	301.001	504.499	1
9.93333	1	1	301	503.631	1
9.96667	1	1	301	502.861	1
10	1	1	301	502.135	1
10.0333	1	1	301	501.365	1
10.0667	1	1	301	500.503	1
10.1	1	1	301	499.374	1
10.1333	1	1	301	498.007	1
10.1667	1	1	300.738	496.372	1
10.2	1	1	300.278	494.9	1
10.2333	1	1	299.991	493.98	1
10.2667	1	1	299.991	493.226	1
10.3	1	1	300.003	492.02	1
10.3333	1	1	299.738	490.638	1
10.3667	1	1	299.289	489.746	1
10.4	1	1	299.007	489.457	0
10.4333	1	1	298.998	489.45	0
10.4667	1	1	299	489.452	0
10.5	1	1	299	488.547	0
10.5333	1	1	298.869	486.96	1
10.5667	1	1	298.508	485.969	1
10.6	1	1	298.036	485.967	1
10.6333	1	1	297.72	486.009	1
10.6667	1	1	297.618	485.999	1
10.7	1	1	297.662	486.061	1
10.7333	1	1	297.744	486.042	1
10.7667	1	1	297.854	485.952	1
10.8	1	1	297.95	486.059	1
10.8333	1	1	298.002	486.489	1
10.8667	1	1	298.002	487	1
10.9	1	1	297.999	487.501	1
10.9333	1	1	298	487.869	1
10.9667	1	1	298.156	488.133	1
11	1	1	298.625	488.543	1
11.0333	1	1	299.237	489.035	1
11.0667	1	1	299.758	489.526	1
11.1	1	1	300.095	490.001	1
11.1333	1	1	300.305	490.358	1
11.1667	1	1	300.558	490.466	1
11.2	1	1	300.92	490.459	1
11.2333	1	1	301.11	490.524	1
11.2667	1	1	301.068	490.752	1
11.3	1	1	301.261	490.965	1
11.3333	1	1	301.85	490.744	1
11.3667	1	1	302.37	490.016	1
11.4	1	1	302.645	489.531	1
11.4333	1	1	302.8	489.778	1
11.4667	1	1	303.024	490.452	1
11.5	1	1	303.359	491.133	1
11.5333	1	1	303.802	491.917	1
11.5667	1	1	304.039	492.717	1
11.6	1	1	303.804	493.049	1
11.6333	1	1	303.018	492.792	1
11.6667	1	1	302.135	492.758	1
11.7	1	1	301.596	493.204	1
11.7333	1	1	301.344	493.37	1
11.7667	1	1	301.193	492.742	1
11.8	1	1	301.394	491.432	1
11.8333	1	1	301.968	489.607	1
11.8667	1	1	302.422	487.826	1
11.9	1	1	302.283	487.139	1
11.9333	1	1	301.908	487.88	1
11.9667	1	1	301.784	489.363	1
12	1	1	302.134	490.597	1
12.0333	1	1	302.78	491.006	1
12.0667	1	1	303.638	490.737	1
12.1	1	1	304.378	490.964	1
12.1333	1	1	304.93	491.69	1
12.1667	1	1	305.307	492.213	1
12.2	1	1	305.562	492.43	1
12.2333	1	1	305.66	492.651	1
12.2667	1	1	305.713	492.72	1
12.3	1	1	305.79	492.527	1
12.3333	1	1	306.313	491.805	1
12.3667	1	1	307.61	490.518	1
12.4	1	1	309.247	489.272	1
12.4333	1	1	310.297	488.624	1
12.4667	1	1	310.551	488.623	1
12.5	1	1	310.432	489.18	1
12.5333	1	1	310.269	490.06	1
12.5667	1	1	310.114	490.876	1
12.6	1	1	310.292	491.344	1
12.6333	1	1	311.155	491.436	1
12.6667	1	1	312.557	491.377	1
12.7	1	1	312.34	491.943	1
12.7333	1	1	310.464	493.086	1
12.7667	1	1	308.909	494.122	4
12.8	1	1	308.56	494.81	4
12.8333	1	1	308.21	495.497	4
12.8667	1	1	307.861	496.185	4
12.9	1	1	307.512	496.873	4
12.9333	1	1	307.163	497.561	4
12.9667	1	1	306.814	498.249	4
13	1	1	306.465	498.937	4
13.0333	1	1	306.115	499.624	4
13.0667	1	1	305.766	500.312	4
13.1	1	1	305.431	500.812	1
13.1333	1	1	305.211	501.074	1
13.1667	1	1	304.977	501.13	1
13.2	1	1	304.425	500.819	1
13.2333	1	1	303.554	500.22	1
13.2667	1	1	302.673	499.748	1
13.3	1	1	301.927	499.527	1
13.3333	1	1	301.163	499.251	1
13.3667	1	1	299.985	498.683	1
13.4	1	1	297.79	497.191	1
13.4333	1	1	295.565	495.604	1
13.4667	1	1	294.778	494.956	1
13.5	1	1	295.458	495.059	1
13.5333	1	1	296.597	495.013	1
13.5667	1	1	297.687	494.791	1
13.6	1	1	298.31	494.381	1
13.6333	1	1	298.339	493.793	1
13.6667	1	1	297.968	493.327	1
13.7	1	1	297.26	492.889	1
13.7333	1	1	296.389	492.042	1
13.7667	1	1	295.458	490.844	1
13.8	1	1	294.501	490.114	1
13.8333	1	1	293.574	489.921	1
13.8667	1	1	292.913	490.017	1
13.9	1	1	292.631	490.277	1
13.9333	1	1	292.589	490.48	1
13.9667	1	1	292.623	490.49	1
14	1	1	292.671	490.491	1
14.0333	1	1	292.673	490.494	1
14.0667	1	1	292.601	490.358	1
14.1	1	1	292.735	490.263	1
14.1333	1	1	293.2	490.426	1
14.1667	1	1	293.767	490.815	1
14.2	1	1	294.315	491.313	1
14.2333	1	1	294.791	491.792	1
14.2667	1	1	295.141	492.01	1
14.3	1	1	295.409	492.21	1
14.3333	1	1	295.706	492.618	1
14.3667	1	1	295.911	493.077	1
14.4	1	1	296.003	493.37	1
14.4333	1	1	296.003	493.636	1
14.4667	1	1	295.737	493.341	1
14.5	1	1	294.937	491.905	1
14.5333	1	1	294.287	490.701	1
14.5667	1	1	294.562	491.546	1
14.6	1	1	295.252	493.303	1
14.6333	1	1	296.185	494.581	0
14.6667	1	1	297.579	495.468	1
14.7	1	1	299.004	496.274	1
14.7333	1	1	300.016	497.003	1
14.7667	1	1	301.085	498.261	1
14.8	1	1	302.157	499.743	1
14.8333	1	1	302.942	501.158	1
14.8667	1	1	303.358	502.375	1
14.9	1	1	303.566	503.308	1
14.9333	1	1	303.645	503.714	1
14.9667	1	1	303.66	504.048	1
15	1	1	303.689	504.497	1
15.0333	1	1	303.86	504.781	1
15.0667	1	1	304.041	504.812	1
15.1	1	1	303.863	504.973	1
15.1333	1	1	303.182	505.186	1
15.1667	1	1	302.307	505.073	1
15.2	1	1	301.427	504.443	1
15.2333	1	1	300.633	503.609	1
15.2667	1	1	300.022	502.913	1
15.3	1	1	299.544	502.182	1
15.3333	1	1	299.163	501.2	1
15.3667	1	1	299.094	500.161	1
15.4	1	1	299.175	498.768	1
15.4333	1	1	298.983	497.001	1
15.4667	1	1	298.377	495.616	1
15.5	1	1	297.434	494.933	1
15.5333	1	1	296.114	494.559	1
15.5667	1	1	295.001	494.52	1
15.6	1	1	294.81	494.755	1
15.6333	1	1	295.572	495.019	1
15.6667	1	1	296.726	495.136	1
15.7	1	1	297.922	495.084	1
15.7333	1	1	298.976	494.862	1
15.7667	1	1	299.689	494.363	1
15.8	1	1	300.115	493.768	1
15.8333	1	1	300.266	493.493	1
15.8667	1	1	300.252	493.503	1
15.9	1	1	300.169	493.64	1
15.9333	1	1	300.156	493.861	1
15.9667	1	1	300.234	494.004	1
16	1	1	300.44	494.209	1
16.0333	1	1	300.671	494.618	1
16.0667	1	1	300.811	494.945	1
16.1	1	1	300.812	495.068	1
16.1333	1	1	300.717	495.161	1
16.1667	1	1	300.615	495.166	1
16.2	1	1	300.542	495.064	1
16.2333	1	1	300.499	494.997	1
16.2667	1	1	300.498	494.998	1
16.3	1	1	300.5	495.001	1
16.3333	1	1	300.542	494.942	1
16.3667	1	1	300.614	494.84	1
16.4	1	1	300.618	494.834	1
16.4333	1	1	300.545	494.936	1
16.4667	1	1	300.457	494.944	1
16.5	1	1	300.295	494.9	1
16.5333	1	1	300.094	494.936	1
16.5667	1	1	299.995	495	1
16.6	1	1	299.907	494.945	1
16.6333	1	1	299.712	494.766	1
16.6667	1	1	299.582	494.502	1
16.7	1	1	299.568	494.237	1
16.7333	1	1	299.545	494.057	1
16.7667	1	1	299.5	493.996	1
16.8	1	1	299.498	493.998	1
16.8333	1	1	299.501	494.001	1
16.8667	1	1	299.5	494	1
16.9	1	1	299.542	493.942	1
16.9333	1	1	299.614	493.84	1
16.9667	1	1	299.66	493.776	1
17	1	1	299.563	493.759	1
17.0333	1	1	299.39	493.731	1
17.0667	1	1	299.284	493.712	1
17.1	1	1	299.284	493.712	1
17.1333	1	1	299.288	493.713	1
17.1667	1	1	299.287	493.713	1
17.2	1	1	299.212	493.526	1
17.2333	1	1	298.854	492.936	1
17.2667	1	1	298.339	492.01	1
17.3	1	1	297.766	491	1
17.3333	1	1	297.097	489.795	1
17.3667	1	1	296.296	488.38	1
17.4	1	1	295.498	486.997	1
17.4333	1	1	294.65	485.827	1
17.4667	1	1	293.697	484.691	1
17.5	1	1	292.664	483.372	1
17.5333	1	1	291.67	481.967	1
17.5667	1	1	290.71	480.764	1
17.6	1	1	289.651	479.565	1
17.6333	1	1	288.576	478.218	1
17.6667	1	1	287.685	476.993	1
17.7	1	1	286.985	476.051	1
17.7333	1	1	286.251	475.162	1
17.7667	1	1	285.431	474.107	1
17.8	1	1	284.572	472.903	1
17.8333	1	1	283.577	471.628	1
17.8667	1	1	282.474	470.315	1
17.9	1	1	281.494	469	1
17.9333	1	1	280.647	467.835	1
17.9667	1	1	279.787	466.78	1
18	1	1	278.9	465.605	1
18.0333	1	1	277.976	464.299	1
18.0667	1	1	277.174	463.281	1
18.1	1	1	276.476	462.587	1
18.1333	1	1	275.664	461.785	1
18.1667	1	1	274.623	460.58	1
18.2	1	1	273.543	459.215	1
18.2333	1	1	272.499	457.993	1
18.2667	1	1	271.499	456.993	1
18.3	1	1	270.542	456.206	1
18.3333	1	1	269.614	455.561	1
18.3667	1	1	268.66	454.784	1
18.4	1	1	267.66	453.785	1
18.4333	1	1	266.672	452.91	1
18.4667	1	1	265.697	452.146	1
18.5	1	1	264.657	451.348	1
18.5333	1	1	263.559	450.446	1
18.5667	1	1	262.554	449.707	1
18.6	1	1	261.727	449.126	1
18.6333	1	1	260.981	448.668	1
18.6667	1	1	260.21	448.186	1
18.7	1	1	259.434	447.719	1
18.7333	1	1	258.76	447.122	1
18.7667	1	1	258.088	446.565	1
18.8	1	1	257.349	446.131	1
18.8333	1	1	256.692	445.631	1
18.8667	1	1	256.141	444.718	1
18.9	1	1	255.432	443.58	1
18.9333	1	1	254.548	442.569	1
18.9667	1	1	253.504	441.815	1
19	1	1	252.292	441.045	1
19.0333	1	1	250.988	440.145	1
19.0667	1	1	249.658	439.223	1
19.1	1	1	248.358	438.558	1
19.1333	1	1	247.088	438	1
19.1667	1	1	245.799	437.465	1
19.2	1	1	244.612	436.886	1
19.2333	1	1	243.521	436.458	1
19.2667	1	1	242.369	436.236	1
19.3	1	1	241.492	436.249	1
19.3333	1	1	241.015	436.483	1
19.3667	1	1	240.695	436.949	1
19.4	1	1	240.552	437.574	1
19.4333	1	1	240.78	438.093	1
19.4667	1	1	241.157	438.379	1
19.5	1	1	241.56	438.558	1
19.5333	1	1	241.999	438.667	1
19.5667	1	1	242.629	438.606	1
19.6	1	1	243.361	438.5	1
19.6333	1	1	244.077	438.454	1
19.6667	1	1	244.894	438.297	1
19.7	1	1	245.744	438.018	1
19.7333	1	1	246.353	437.691	1
19.7667	1	1	246.712	437.481	1
19.8	1	1	247.146	437.409	1
19.8333	1	1	247.83	437.384	1
19.8667	1	1	248.77	437.343	1
19.9	1	1	249.775	437.309	1
19.9333	1	1	250.644	437.012	1
19.9667	1	1	251.172	436.414	1
20	1	1	251.38	435.837	1
20.0333	1	1	251.533	435.564	1
20.0667	1	1	251.732	435.239	1
20.1	1	1	251.833	434.718	1
20.1333	1	1	251.81	434.307	1
20.1667	1	1	251.908	434.348	1
20.2	1	1	252.158	434.713	1
20.2333	1	1	252.58	435.214	1
20.2667	1	1	253.044	435.719	1
20.3	1	1	253.582	436.217	1
20.3333	1	1	254.117	436.763	1
20.3667	1	1	254.663	437.372	1
20.4	1	1	255.302	438.028	1
20.4333	1	1	256.056	438.703	1
20.4667	1	1	256.794	439.477	1
20.5	1	1	257.603	440.389	1
20.5333	1	1	258.53	441.346	1
20.5667	1	1	259.417	442.271	1
20.6	1	1	260.409	443.266	1
20.6333	1	1	261.461	444.3	1
20.6667	1	1	262.536	445.158	1
20.7	1	1	263.851	446.096	1
20.7333	1	1	265.303	447.296	1
20.7667	1	1	266.642	448.503	1
20.8	1	1	267.808	449.352	1
20.8333	1	1	269.032	450.225	1
20.8667	1	1	270.302	451.33	1
20.9	1	1	271.576	452.344	1
20.9333	1	1	272.824	452.931	1
20.9667	1	1	274.172	453.534	1
21	1	1	275.561	454.35	1
21.0333	1	1	276.842	455.142	1
21.0667	1	1	278.094	455.805	1
21.1	1	1	279.38	456.381	1
21.1333	1	1	280.576	456.901	1
21.1667	1	1	281.627	457.382	1
21.2	1	1	282.893	457.902	1
21.2333	1	1	284.303	458.442	1
21.2667	1	1	285.582	458.958	1
21.3	1	1	286.764	459.299	1
21.3333	1	1	287.939	459.462	1
21.3667	1	1	289.136	459.635	1
